층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
2층,C블록,5,4,2층 C블록5열 4,121,2723,802,2층 C블록5열 9
2층,C블록,5,5,2층 C블록5열 5,72,2724,802,2층 C블록5열 8
2층,C블록,5,6,2층 C블록5열 6,24,2724,802,2층 C블록5열 7
2층,C블록,5,7,2층 C블록5열 7,-24,2724,802,2층 C블록5열 6
2층,C블록,5,8,2층 C블록5열 8,-72,2724,802,2층 C블록5열 5
2층,C블록,5,9,2층 C블록5열 9,-121,2723,802,2층 C블록5열 4
2층,C블록,5,10,2층 C블록5열 10,-169,2722,802,2층 C블록5열 3
2층,C블록,5,11,2층 C블록5열 11,-217,2721,802,2층 C블록5열 2
2층,C블록,5,12,2층 C블록5열 12,-265,2720,802,2층 C블록5열 1
2층,D블록,5,1,2층 D블록5열 1,-416,2715,802,2층 B블록5열 12
2층,D블록,5,2,2층 D블록5열 2,-472,2712,802,2층 B블록5열 11
2층,D블록,5,3,2층 D블록5열 3,-528,2709,802,2층 B블록5열 10
2층,D블록,5,4,2층 D블록5열 4,-584,2705,802,2층 B블록5열 9
2층,D블록,5,5,2층 D블록5열 5,-640,2701,802,2층 B블록5열 8
2층,D블록,5,6,2층 D블록5열 6,-696,2697,802,2층 B블록5열 7
2층,D블록,5,7,2층 D블록5열 7,-752,2692,802,2층 B블록5열 6
2층,D블록,3,8,2층 D블록3열 8,-780,2488,717,2층 B블록3열 4
2층,D블록,3,9,2층 D블록3열 9,-832,2483,717,2층 B블록3열 3
2층,D블록,5,8,2층 D블록5열 8,-808,2686,802,2층 B블록5열 5
2층,D블록,5,9,2층 D블록5열 9,-863,2681,802,2층 B블록5열 4
2층,D블록,5,10,2층 D블록5열 10,-919,2676,802,2층 B블록5열 3
2층,E블록,5,1,2층 E블록5열 1,-1193,2581,802,2층 A블록5열 20
2층,E블록,5,2,2층 E블록5열 2,-1230,2541,802,2층 A블록5열 19
2층,E블록,5,3,2층 E블록5열 3,-1267,2502,802,2층 A블록5열 18
2층,E블록,5,4,2층 E블록5열 4,-1304,2463,802,2층 A블록5열 17
2층,E블록,5,5,2층 E블록5열 5,-1342,2424,802,2층 A블록5열 16
2층,E블록,5,6,2층 E블록5열 6,-1379,2384,802,2층 A블록5열 15
2층,E블록,5,7,2층 E블록5열 7,-1416,2345,802,2층 A블록5열 14
2층,E블록,5,8,2층 E블록5열 8,-1453,2306,802,2층 A블록5열 13
2층,E블록,5,9,2층 E블록5열 9,-1490,2266,802,2층 A블록5열 12
2층,E블록,5,10,2층 E블록5열 10,-1528,2227,802,2층 A블록5열 11
2층,E블록,5,11,2층 E블록5열 11,-1565,2188,802,2층 A블록5열 10
2층,E블록,5,12,2층 E블록5열 12,-1602,2149,802,2층 A블록5열 9
2층,E블록,5,13,2층 E블록5열 13,-1639,2109,802,2층 A블록5열 8
2층,E블록,5,14,2층 E블록5열 14,-1676,2070,802,2층 A블록5열 7
2층,E블록,5,15,2층 E블록5열 15,-1714,2031,802,2층 A블록5열 6
2층,E블록,5,16,2층 E블록5열 16,-1751,1992,802,2층 A블록5열 5
2층,E블록,5,17,2층 E블록5열 17,-1788,1952,802,2층 A블록5열 4
2층,E블록,5,18,2층 E블록5열 18,-1825,1913,802,2층 A블록5열 3
2층,E블록,5,19,2층 E블록5열 19,-1862,1874,802,2층 A블록5열 2
2층,E블록,5,20,2층 E블록5열 20,-1900,1834,802,2층 A블록5열 1
2층,A블록,6,3,2층 A블록6열 3,1776,2111,845,2층 E블록6열 17
2층,A블록,6,4,2층 A블록6열 4,1742,2146,845,2층 E블록6열 16
2층,A블록,6,5,2층 A블록6열 5,1709,2181,845,2층 E블록6열 15
