층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각
1층,A블록,4,8,1층 A블록4열 8,1241,891,-42,1층 E블록4열 3,1528.3082149880631,33.283390786049736,28.938514651707862
1층,A블록,4,9,1층 A블록4열 9,1193,902,-42,1층 E블록4열 2,1496.200855500357,35.704168203451076,28.886401792472757
1층,A블록,4,10,1층 A블록4열 10,1144,912,-42,1층 E블록4열 1,1463.6406662839072,38.283375943755466,28.806413684937855
1층,B블록,4,1,1층 B블록4열 1,982,943,-42,1층 D블록4열 10,1362.1075581612488,47.53466585706188,28.129592394289553
1층,B블록,4,2,1층 B블록4열 2,929,952,-42,1층 D블록4열 9,1330.8301920230094,50.719698536908346,27.75644281858333
1층,B블록,4,3,1층 B블록4열 3,875,961,-42,1층 D블록4열 8,1300.3499528972961,53.98694314244984,27.272886698863235
1층,B블록,4,4,1층 B블록4열 4,822,970,-42,1층 D블록4열 7,1272.1430737145881,57.165139713674236,26.676333568493014
1층,B블록,4,5,1층 B블록4열 5,768,978,-42,1층 D블록4열 6,1244.2154154325528,60.356744336556666,25.97444830676463
1층,B블록,4,6,1층 B블록4열 6,715,985,-42,1층 D블록4열 5,1217.8727355516257,63.40775460966442,25.17527264096166
1층,B블록,4,7,1층 B블록4열 7,661,992,-42,1층 D블록4열 4,1192.7904258502413,66.37499099941925,24.215197503366294
1층,B블록,4,8,1층 B블록4열 8,607,1000,-42,1층 D블록4열 3,1170.5609766261646,69.11057644811487,23.06126295414154
1층,B블록,4,9,1층 B블록4열 9,553,1005,-42,1층 D블록4열 2,1147.8667170015865,71.75955950935924,21.833042878498304
1층,B블록,4,10,1층 B블록4열 10,499,1009,-42,1층 D블록4열 1,1126.4306458899277,74.22968040756265,20.457599443927375
1층,C블록,4,1,1층 C블록4열 1,335,1022,-42,1층 C블록4열 12,1076.3238360270575,80.08062279195082,15.123310113028005
1층,C블록,4,2,1층 C블록4열 2,274,1025,-42,1층 C블록4열 11,1061.8215480955357,81.71024991105857,12.772459252292483
1층,C블록,4,3,1층 C블록4열 3,213,1029,-42,1층 C블록4열 10,1051.6529845914004,82.90337086175917,10.210561352056354
1층,C블록,4,4,1층 C블록4열 4,152,1030,-42,1층 C블록4열 9,1042.0019193840287,83.93326822515009,7.5632802907255385
1층,C블록,4,5,1층 C블록4열 5,91,1031,-42,1층 C블록4열 8,1035.8600291545185,84.59576980776832,4.868394552003755
1층,C블록,4,6,1층 C블록4열 6,30,1032,-42,1층 C블록4열 7,1033.289891559963,84.88944662152753,2.520832096283806
1층,C블록,4,7,1층 C블록4열 7,-30,1032,-42,1층 C블록4열 6,1033.289891559963,84.88944662152753,2.520832096283806
1층,C블록,4,8,1층 C블록4열 8,-91,1031,-42,1층 C블록4열 5,1035.8600291545185,84.59576980776832,4.868394552003755
1층,C블록,4,9,1층 C블록4열 9,-152,1030,-42,1층 C블록4열 4,1042.0019193840287,83.93326822515009,7.5632802907255385
1층,C블록,4,10,1층 C블록4열 10,-213,1029,-42,1층 C블록4열 3,1051.6529845914004,82.90337086175917,10.210561352056354
1층,C블록,4,11,1층 C블록4열 11,-274,1025,-42,1층 C블록4열 2,1061.8215480955357,81.71024991105857,12.772459252292483
1층,C블록,4,12,1층 C블록4열 12,-335,1022,-42,1층 C블록4열 1,1076.3238360270575,80.08062279195082,15.123310113028005
1층,D블록,4,1,1층 D블록4열 1,-499,1009,-42,1층 B블록4열 10,1126.4306458899277,74.22968040756265,20.457599443927375
1층,D블록,4,2,1층 D블록4열 2,-553,1005,-42,1층 B블록4열 9,1147.8667170015865,71.75955950935924,21.833042878498304
1층,D블록,4,3,1층 D블록4열 3,-607,1000,-42,1층 B블록4열 8,1170.5609766261646,69.11057644811487,23.06126295414154
1층,D블록,4,4,1층 D블록4열 4,-661,992,-42,1층 B블록4열 7,1192.7904258502413,66.37499099941925,24.215197503366294
1층,D블록,4,5,1층 D블록4열 5,-715,985,-42,1층 B블록4열 6,1217.8727355516257,63.40775460966442,25.17527264096166
1층,D블록,4,6,1층 D블록4열 6,-768,978,-42,1층 B블록4열 5,1244.2154154325528,60.356744336556666,25.97444830676463
1층,D블록,4,7,1층 D블록4열 7,-822,970,-42,1층 B블록4열 4,1272.1430737145881,57.165139713674236,26.676333568493014
1층,D블록,4,8,1층 D블록4열 8,-875,961,-42,1층 B블록4열 3,1300.3499528972961,53.98694314244984,27.272886698863235
1층,D블록,4,9,1층 D블록4열 9,-929,952,-42,1층 B블록4열 2,1330.8301920230094,50.719698536908346,27.75644281858333
1층,D블록,4,10,1층 D블록4열 10,-982,943,-42,1층 B블록4열 1,1362.1075581612488,47.53466585706188,28.129592394289553
1층,E블록,4,1,1층 E블록4열 1,-1144,912,-42,1층 A블록4열 10,1463.6406662839072,38.283375943755466,28.806413684937855
1층,E블록,4,2,1층 E블록4열 2,-1193,902,-42,1층 A블록4열 9,1496.200855500357,35.704168203451076,28.886401792472757
1층,E블록,4,3,1층 E블록4열 3,-1241,891,-42,1층 A블록4열 8,1528.3082149880631,33.283390786049736,28.938514651707862
1층,E블록,4,4,1층 E블록4열 4,-1290,879,-42,1층 A블록4열 7,1561.5713240194955,30.92923484576977,28.957401577502576
1층,E블록,4,5,1층 E블록4열 5,-1338,867,-42,1층 A블록4열 6,1594.8971753689955,28.749698214035345,28.935205315306575
1층,E블록,4,6,1층 E블록4열 6,-1386,856,-42,1층 A블록4열 5,1629.5692682423783,26.723538235370356,28.853470886169095
1층,E블록,4,7,1층 E블록4열 7,-1435,844,-42,1층 A블록4열 4,1665.3302975686236,24.775619444067452,28.748568844537964
1층,E블록,4,8,1층 E블록4열 8,-1482,830,-42,1층 A블록4열 3,1699.1138867068328,22.976938206265505,28.659500922614505
1층,E블록,4,9,1층 E블록4열 9,-1530,816,-42,1층 A블록4열 2,1734.5085759372882,21.26831334584007,28.53188004611125
1층,E블록,4,10,1층 E블록4열 10,-1578,803,-42,1층 A블록4열 1,1771.0609814458676,19.70165060194783,28.360974439658072
1층,A블록,5,1,1층 A블록5열 1,1603,894,-24,1층 E블록5열 10,1835.5982675956088,20.97924510506547,26.815152857961564
1층,A블록,5,2,1층 A블록5열 2,1556,908,-24,1층 E블록5열 9,1801.71473879746,22.460544217860992,26.899531802635302
1층,A블록,5,3,1층 A블록5열 3,1508,921,-24,1층 E블록5열 8,1767.1675076234285,24.043847696435552,26.97807738119762
1층,A블록,5,4,1층 A블록5열 4,1460,934,-24,1층 E블록5열 7,1733.3585895595868,25.725484180413446,27.02637396260507
1층,A블록,5,5,1층 A블록5열 5,1409,948,-24,1층 E블록5열 6,1698.3995407441678,27.62375333084663,27.03735440532742
1층,A블록,5,6,1층 A블록5열 6,1360,960,-24,1층 E블록5열 5,1664.8651597051337,29.529530082759795,27.034820221907715
1층,A블록,5,7,1층 A블록5열 7,1312,971,-24,1층 E블록5열 4,1632.409568705109,31.486022746505537,27.007142476076098
