공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2020-06-19 19:30:00,0.095,0.547,6,729403160.9062494,5,0.7098121941771081,54465.07,0,110000,"[1.0, 17.56, 34.15, 45.58, 58.44]","[1775, 31178, 60625, 80924, 103746]","[414, 505, 736, 563, 287]","[0.2126, 0.305, 0.6807, 0.7229, 0.7666]",1.0,17.56,34.15,45.58,58.44
2020-09-12 17:00:00,0.067,0.067,12,27365535.618249215,4,0.9162169187763279,101267.47,0,130000,"[0.0, 1.0, 2.01, 2.33]","[0, 55000, 110440, 127941]","[164, 274, 1477, 590]","[0.0549, 0.0401, 0.0562, 0.1085]",0.0,1.0,2.01,2.33,
2020-10-11 17:00:00,0.066,0.097,1,5.469123579468254e-24,5,0.0,22682.63,0,30000,"[0.0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 30000, 30000, 30000]","[369, 242, 615, 751, 528]","[0.0163, 0.0248, 0.1187, 0.1185, 0.1288]",0.0,0.0,1.0,1.0,1.0
2020-10-20 19:30:00,0.077,0.321,42,130955804.96798682,4,0.701792294109192,33233.53,0,60000,"[0.0, 1.0, 1.52, 2.01]","[0, 28788, 43800, 57918]","[373, 1052, 679, 401]","[0.1046, 0.2795, 0.4212, 0.4589]",0.0,1.0,1.52,2.01,
2020-11-15 17:00:00,0.033,0.594,11,1031192585.280791,4,0.6364077233712199,91385.23,0,150000,"[0.0, 1.0, 1.4, 1.82]","[0, 77081, 107594, 140430]","[400, 596, 881, 628]","[0.1975, 0.5721, 0.6754, 0.7548]",0.0,1.0,1.4,1.82,
2020-12-19 17:00:00,0.104,0.442,3,29408583.885331433,4,0.9702895341088721,31798.4,0,50000,"[0.0, 1.0, 1.75, 2.48]","[0, 20114, 35101, 49833]","[356, 482, 890, 777]","[0.3961, 0.471, 0.4438, 0.4414]",0.0,1.0,1.75,2.48,
2021-01-01 19:30:00,0.146,0.232,9,32475635.190886784,4,0.8527076650805681,55305.39,0,80000,"[0.0, 1.0, 1.5, 1.95]","[0, 40805, 61132, 79429]","[221, 652, 967, 665]","[0.2353, 0.1687, 0.2668, 0.2421]",0.0,1.0,1.5,1.95,
2021-03-19 19:30:00,0.295,0.381,3,82315070.1545542,4,0.7951773566708163,81183.63,0,120000,"[0.0, 1.0, 1.59, 2.37]","[0, 50000, 79523, 118713]","[173, 471, 1049, 812]","[0.1561, 0.3907, 0.3832, 0.4212]",0.0,1.0,1.59,2.37,
2021-03-20 17:00:00,0.178,0.187,19,77437123.9806426,4,0.7696795155435411,47285.43,0,70000,"[0.0, 1.0, 1.64, 2.18]","[0, 30785, 50462, 67251]","[149, 803, 638, 915]","[0.4899, 0.1993, 0.2429, 0.0885]",0.0,1.0,1.64,2.18,
2021-03-28 17:00:00,0.336,0.366,7,267413124.54472208,5,0.9177033959008801,110013.97,0,150000,"[0.0, 1.0, 1.53, 1.99, 2.48]","[0, 60060, 91741, 119810, 149171]","[99, 415, 471, 657, 863]","[0.3131, 0.3976, 0.3418, 0.3516, 0.3801]",0.0,1.0,1.53,1.99,2.48
2021-03-31 19:30:00,0.363,0.503,7,207559381.7204485,4,0.8781432165931732,100730.54,0,150000,"[0.0, 1.0, 1.57, 1.97]","[0, 76134, 119329, 149783]","[363, 613, 767, 762]","[0.1653, 0.3458, 0.6336, 0.6601]",0.0,1.0,1.57,1.97,
2021-05-25 19:30:00,0.071,0.321,5,592812741.011462,4,0.702768845518878,46554.89,0,105000,"[0.0, 1.0, 1.67, 2.58]","[0, 32311, 53956, 83290]","[319, 636, 1126, 424]","[0.1975, 0.1619, 0.3934, 0.4623]",0.0,1.0,1.67,2.58,
2021-06-15 19:30:00,0.17,0.439,8,126494106.34893541,4,0.7043778147759431,92754.49,0,150000,"[1.0, 48.48, 76.36, 104.37]","[1407, 68204, 107431, 146847]","[462, 412, 911, 720]","[0.1818, 0.3155, 0.528, 0.5625]",1.0,48.48,76.36,104.37,
2021-06-24 19:30:00,0.05,0.259,17,287970105.3446822,4,0.6753527850405504,46095.81,0,80000,"[0.0, 1.0, 1.88, 2.48]","[0, 30465, 57138, 75682]","[407, 624, 814, 660]","[0.145, 0.1538, 0.3022, 0.3773]",0.0,1.0,1.88,2.48,
2021-07-29 19:30:00,0.03,0.177,9,112522016.3377345,4,0.7169315370243715,47475.05,0,90000,"[0.0, 1.0, 1.51, 2.34]","[0, 35519, 53651, 83129]","[410, 848, 504, 743]","[0.078, 0.0436, 0.131, 0.4145]",0.0,1.0,1.51,2.34,
